"filename", "language", "Rust", "C", "comment", "blank", "total"
"/home/ayanami/Ayanami-language/src/compiler.rs", "Rust", 1273, 0, 78, 109, 1460
"/home/ayanami/Ayanami-language/src/driver/mod.rs", "Rust", 140, 0, 24, 26, 190
"/home/ayanami/Ayanami-language/src/formatter.rs", "Rust", 389, 0, 2, 16, 407
"/home/ayanami/Ayanami-language/src/hir/display.rs", "Rust", 276, 0, 0, 10, 286
"/home/ayanami/Ayanami-language/src/hir/ir.rs", "Rust", 212, 0, 40, 19, 271
"/home/ayanami/Ayanami-language/src/hir/lower.rs", "Rust", 1906, 0, 148, 122, 2176
"/home/ayanami/Ayanami-language/src/hir/mod.rs", "Rust", 6, 0, 11, 2, 19
"/home/ayanami/Ayanami-language/src/intern/interner.rs", "Rust", 28, 0, 0, 5, 33
"/home/ayanami/Ayanami-language/src/intern/mod.rs", "Rust", 3, 0, 4, 2, 9
"/home/ayanami/Ayanami-language/src/intern/symbol.rs", "Rust", 20, 0, 0, 7, 27
"/home/ayanami/Ayanami-language/src/lexer/delimiter.rs", "Rust", 33, 0, 0, 3, 36
"/home/ayanami/Ayanami-language/src/lexer/keyword.rs", "Rust", 83, 0, 0, 3, 86
"/home/ayanami/Ayanami-language/src/lexer/lexer.rs", "Rust", 373, 0, 4, 18, 395
"/home/ayanami/Ayanami-language/src/lexer/mod.rs", "Rust", 11, 0, 7, 2, 20
"/home/ayanami/Ayanami-language/src/lexer/test.rs", "Rust", 14, 0, 0, 2, 16
"/home/ayanami/Ayanami-language/src/lexer/token.rs", "Rust", 43, 0, 0, 6, 49
"/home/ayanami/Ayanami-language/src/lexer/token_kind.rs", "Rust", 30, 0, 0, 4, 34
"/home/ayanami/Ayanami-language/src/lib.rs", "Rust", 11, 0, 0, 1, 12
"/home/ayanami/Ayanami-language/src/lir/display.rs", "Rust", 116, 0, 0, 5, 121
"/home/ayanami/Ayanami-language/src/lir/emit.rs", "Rust", 1014, 0, 52, 51, 1117
"/home/ayanami/Ayanami-language/src/lir/ir.rs", "Rust", 199, 0, 50, 9, 258
"/home/ayanami/Ayanami-language/src/lir/lower.rs", "Rust", 1003, 0, 39, 67, 1109
"/home/ayanami/Ayanami-language/src/lir/mod.rs", "Rust", 9, 0, 11, 2, 22
"/home/ayanami/Ayanami-language/src/lir/serialize.rs", "Rust", 503, 0, 15, 28, 546
"/home/ayanami/Ayanami-language/src/main.rs", "Rust", 348, 0, 10, 27, 385
"/home/ayanami/Ayanami-language/src/mir/borrow.rs", "Rust", 121, 0, 0, 10, 131
"/home/ayanami/Ayanami-language/src/mir/display.rs", "Rust", 283, 0, 0, 10, 293
"/home/ayanami/Ayanami-language/src/mir/ir.rs", "Rust", 147, 0, 0, 8, 155
"/home/ayanami/Ayanami-language/src/mir/lower.rs", "Rust", 510, 0, 26, 44, 580
"/home/ayanami/Ayanami-language/src/mir/mem/mod.rs", "Rust", 19, 0, 0, 5, 24
"/home/ayanami/Ayanami-language/src/mir/mem/shared.rs", "Rust", 17, 0, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mem/unique.rs", "Rust", 17, 0, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mem/value.rs", "Rust", 17, 0, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mod.rs", "Rust", 8, 0, 6, 2, 16
"/home/ayanami/Ayanami-language/src/package/config.rs", "Rust", 74, 0, 9, 6, 89
"/home/ayanami/Ayanami-language/src/package/mod.rs", "Rust", 319, 0, 18, 28, 365
"/home/ayanami/Ayanami-language/src/parser/ast/binary_op.rs", "Rust", 16, 0, 0, 1, 17
"/home/ayanami/Ayanami-language/src/parser/ast/block.rs", "Rust", 12, 0, 0, 3, 15
"/home/ayanami/Ayanami-language/src/parser/ast/expr.rs", "Rust", 101, 0, 0, 3, 104
"/home/ayanami/Ayanami-language/src/parser/ast/literal.rs", "Rust", 20, 0, 0, 3, 23
"/home/ayanami/Ayanami-language/src/parser/ast/mod.rs", "Rust", 18, 0, 0, 2, 20
"/home/ayanami/Ayanami-language/src/parser/ast/program.rs", "Rust", 10, 0, 0, 3, 13
"/home/ayanami/Ayanami-language/src/parser/ast/stmt.rs", "Rust", 121, 0, 0, 4, 125
"/home/ayanami/Ayanami-language/src/parser/ast/ty.rs", "Rust", 46, 0, 0, 4, 50
"/home/ayanami/Ayanami-language/src/parser/ast/unary_op.rs", "Rust", 5, 0, 0, 1, 6
"/home/ayanami/Ayanami-language/src/parser/ast/vis.rs", "Rust", 11, 0, 0, 2, 13
"/home/ayanami/Ayanami-language/src/parser/mod.rs", "Rust", 4, 0, 5, 2, 11
"/home/ayanami/Ayanami-language/src/parser/parser.rs", "Rust", 1188, 0, 48, 75, 1311
"/home/ayanami/Ayanami-language/src/runtime.c", "C", 0, 46, 13, 16, 75
"/home/ayanami/Ayanami-language/src/span.rs", "Rust", 62, 0, 3, 8, 73
"Total", "-", 11189, 46, 623, 795, 12653
