"filename", "language", "C", "Rust", "comment", "blank", "total"
"/home/ayanami/Ayanami-language/src/compiler/build.rs", "Rust", 0, 526, 10, 63, 599
"/home/ayanami/Ayanami-language/src/compiler/check.rs", "Rust", 0, 94, 0, 4, 98
"/home/ayanami/Ayanami-language/src/compiler/debug.rs", "Rust", 0, 372, 1, 11, 384
"/home/ayanami/Ayanami-language/src/compiler/import.rs", "Rust", 0, 84, 12, 7, 103
"/home/ayanami/Ayanami-language/src/compiler/mod.rs", "Rust", 0, 156, 51, 23, 230
"/home/ayanami/Ayanami-language/src/compiler/symdef.rs", "Rust", 0, 144, 3, 5, 152
"/home/ayanami/Ayanami-language/src/driver/mod.rs", "Rust", 0, 139, 25, 26, 190
"/home/ayanami/Ayanami-language/src/formatter.rs", "Rust", 0, 466, 2, 16, 484
"/home/ayanami/Ayanami-language/src/hir/display.rs", "Rust", 0, 292, 0, 10, 302
"/home/ayanami/Ayanami-language/src/hir/ir.rs", "Rust", 0, 235, 45, 19, 299
"/home/ayanami/Ayanami-language/src/hir/lower/body.rs", "Rust", 0, 1939, 159, 83, 2181
"/home/ayanami/Ayanami-language/src/hir/lower/helpers.rs", "Rust", 0, 640, 63, 29, 732
"/home/ayanami/Ayanami-language/src/hir/lower/mod.rs", "Rust", 0, 196, 74, 28, 298
"/home/ayanami/Ayanami-language/src/hir/mod.rs", "Rust", 0, 6, 11, 2, 19
"/home/ayanami/Ayanami-language/src/intern/interner.rs", "Rust", 0, 28, 0, 5, 33
"/home/ayanami/Ayanami-language/src/intern/mod.rs", "Rust", 0, 3, 4, 2, 9
"/home/ayanami/Ayanami-language/src/intern/symbol.rs", "Rust", 0, 20, 0, 7, 27
"/home/ayanami/Ayanami-language/src/lexer/delimiter.rs", "Rust", 0, 35, 0, 3, 38
"/home/ayanami/Ayanami-language/src/lexer/keyword.rs", "Rust", 0, 91, 0, 3, 94
"/home/ayanami/Ayanami-language/src/lexer/lexer.rs", "Rust", 0, 378, 4, 18, 400
"/home/ayanami/Ayanami-language/src/lexer/mod.rs", "Rust", 0, 11, 7, 2, 20
"/home/ayanami/Ayanami-language/src/lexer/test.rs", "Rust", 0, 14, 0, 2, 16
"/home/ayanami/Ayanami-language/src/lexer/token.rs", "Rust", 0, 43, 0, 6, 49
"/home/ayanami/Ayanami-language/src/lexer/token_kind.rs", "Rust", 0, 30, 0, 4, 34
"/home/ayanami/Ayanami-language/src/lib.rs", "Rust", 0, 11, 15, 2, 28
"/home/ayanami/Ayanami-language/src/lir/display.rs", "Rust", 0, 121, 1, 5, 127
"/home/ayanami/Ayanami-language/src/lir/emit.rs", "Rust", 0, 1132, 67, 50, 1249
"/home/ayanami/Ayanami-language/src/lir/ir.rs", "Rust", 0, 207, 52, 9, 268
"/home/ayanami/Ayanami-language/src/lir/lower.rs", "Rust", 0, 1127, 54, 70, 1251
"/home/ayanami/Ayanami-language/src/lir/mod.rs", "Rust", 0, 9, 11, 2, 22
"/home/ayanami/Ayanami-language/src/lir/serialize.rs", "Rust", 0, 557, 16, 30, 603
"/home/ayanami/Ayanami-language/src/main.rs", "Rust", 0, 348, 27, 28, 403
"/home/ayanami/Ayanami-language/src/mir/borrow.rs", "Rust", 0, 121, 0, 10, 131
"/home/ayanami/Ayanami-language/src/mir/display.rs", "Rust", 0, 303, 0, 10, 313
"/home/ayanami/Ayanami-language/src/mir/ir.rs", "Rust", 0, 168, 0, 8, 176
"/home/ayanami/Ayanami-language/src/mir/lower.rs", "Rust", 0, 534, 47, 45, 626
"/home/ayanami/Ayanami-language/src/mir/mem/mod.rs", "Rust", 0, 19, 0, 5, 24
"/home/ayanami/Ayanami-language/src/mir/mem/shared.rs", "Rust", 0, 17, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mem/unique.rs", "Rust", 0, 17, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mem/value.rs", "Rust", 0, 17, 0, 3, 20
"/home/ayanami/Ayanami-language/src/mir/mod.rs", "Rust", 0, 8, 6, 2, 16
"/home/ayanami/Ayanami-language/src/package/config.rs", "Rust", 0, 74, 9, 6, 89
"/home/ayanami/Ayanami-language/src/package/mod.rs", "Rust", 0, 330, 20, 28, 378
"/home/ayanami/Ayanami-language/src/parser/ast/binary_op.rs", "Rust", 0, 16, 0, 1, 17
"/home/ayanami/Ayanami-language/src/parser/ast/block.rs", "Rust", 0, 12, 0, 3, 15
"/home/ayanami/Ayanami-language/src/parser/ast/expr.rs", "Rust", 0, 115, 0, 3, 118
"/home/ayanami/Ayanami-language/src/parser/ast/literal.rs", "Rust", 0, 20, 0, 3, 23
